Fecha,Año,Mes,Persona,Vendedor,SKU,Nombre Producto,Comentarios Producto,Cantidad_ventas,Precio,% Descuento,Descuento,IVA Vigente,Subtotal IVA mayor a 0%,IVA,Total,Saldo,Retenciones,Estado,Dias vencimiento,Fecha Vencimiento,Cantidad_inv,PVP,Costo Adquisición Unitario,Costo Adquisición,Modelo producto
2024-12-23,2024,12,Estética Integral,Marcos Proaño,IMP-ER-350,Implante de Seno Ergonómico 350cc,"Grado médico, esterilizado Gamma",5,1322.8,0.0,0.0,0.15,6614.0,992.1,7606.1,0.0,133.11,Pagado,56,2025-02-17,76,1322.8,581.85,2909.25,Ergonómico
2023-08-25,2023,8,Clínica Santa Inés,Sofia Vega,IMP-AN-250,Implante de Seno Anatómico 250cc,"Grado médico, esterilizado Gamma",6,2190.86,0.1,1314.52,0.15,11830.64,1774.6,13605.24,0.0,0.0,Pagado,29,2023-09-23,76,2190.86,755.07,4530.42,Anatómico
2025-07-24,2025,7,Clínica Santa Inés,Carlos Ruiz,IMP-RE-250,Implante de Seno Redondo Low Profile 250cc,"Grado médico, esterilizado Gamma",9,1082.73,0.05,487.23,0.15,9257.34,1388.6,10645.94,0.0,186.3,Pagado,41,2025-09-03,109,1082.73,486.49,4378.41,Redondo Low Profile
2023-01-03,2023,1,MedGroup SA,Marcos Proaño,IMP-ER-275,Implante de Seno Ergonómico 275cc,"Grado médico, esterilizado Gamma",7,1686.4,0.0,0.0,0.15,11804.8,1770.72,13575.52,0.0,237.57,Pagado,44,2023-02-16,37,1686.4,563.34,3943.38,Ergonómico
2023-04-11,2023,4,Dr. Juan Pérez,Sofia Vega,IMP-RE-450,Implante de Seno Redondo Low Profile 450cc,"Grado médico, esterilizado Gamma",8,1958.8,0.0,0.0,0.15,15670.4,2350.56,18020.96,18020.96,315.37,Pendiente,39,2023-05-20,111,1958.8,788.71,6309.68,Redondo Low Profile
2025-07-05,2025,7,Estética Integral,Marcos Proaño,IMP-RE-275,Implante de Seno Redondo High Profile 275cc,"Grado médico, esterilizado Gamma",6,2270.04,0.1,1362.02,0.15,12258.22,1838.73,14096.95,0.0,0.0,Pagado,53,2025-08-27,77,2270.04,827.83,4966.98,Redondo High Profile
2025-11-19,2025,11,Dr. Juan Pérez,Marcos Proaño,IMP-RE-500,Implante de Seno Redondo Low Profile 500cc,"Grado médico, esterilizado Gamma",2,1648.2,0.0,0.0,0.15,3296.4,494.46,3790.86,3790.86,0.0,Pendiente,43,2026-01-01,125,1648.2,566.86,1133.72,Redondo Low Profile
2025-04-22,2025,4,Hospital del Valle,Sofia Vega,IMP-ER-450,Implante de Seno Ergonómico 450cc,"Grado médico, esterilizado Gamma",9,1793.21,0.15,2420.83,0.15,13718.06,2057.71,15775.77,0.0,276.08,Pagado,31,2025-05-23,113,1793.21,807.68,7269.12,Ergonómico
2023-11-21,2023,11,Estética Integral,Marcos Proaño,IMP-AN-500,Implante de Seno Anatómico 500cc,"Grado médico, esterilizado Gamma",9,1620.29,0.15,2187.39,0.15,12395.22,1859.28,14254.5,0.0,0.0,Pagado,42,2024-01-02,58,1620.29,585.55,5269.95,Anatómico
2025-08-08,2025,8,Hospital del Valle,Sofia Vega,IMP-AN-375,Implante de Seno Anatómico 375cc,"Grado médico, esterilizado Gamma",7,1944.26,0.15,2041.47,0.15,11568.35,1735.25,13303.6,0.0,0.0,Pagado,46,2025-09-23,70,1944.26,694.34,4860.38,Anatómico
2024-12-11,2024,12,Dr. Juan Pérez,Lucía Méndez,IMP-RE-300,Implante de Seno Redondo High Profile 300cc,"Grado médico, esterilizado Gamma",7,1877.43,0.0,0.0,0.15,13142.01,1971.3,15113.31,0.0,0.0,Pagado,59,2025-02-08,86,1877.43,659.73,4618.11,Redondo High Profile
2025-10-07,2025,10,Estética Integral,Sofia Vega,IMP-ER-375,Implante de Seno Ergonómico 375cc,"Grado médico, esterilizado Gamma",4,2132.33,0.05,426.47,0.15,8102.85,1215.43,9318.28,0.0,163.07,Pagado,19,2025-10-26,19,2132.33,724.96,2899.84,Ergonómico
2024-05-19,2024,5,Clínica Santa Inés,Elena Gómez,IMP-RE-450,Implante de Seno Redondo Low Profile 450cc,"Grado médico, esterilizado Gamma",2,1631.22,0.05,163.12,0.15,3099.32,464.9,3564.22,0.0,0.0,Pagado,31,2024-06-19,56,1631.22,644.14,1288.28,Redondo Low Profile
2023-10-23,2023,10,Hospital del Valle,Marcos Proaño,IMP-RE-250,Implante de Seno Redondo High Profile 250cc,"Grado médico, esterilizado Gamma",3,1776.98,0.0,0.0,0.15,5330.94,799.64,6130.58,0.0,0.0,Pagado,45,2023-12-07,43,1776.98,751.36,2254.08,Redondo High Profile
2025-10-01,2025,10,Dr. Juan Pérez,Carlos Ruiz,IMP-AN-375,Implante de Seno Anatómico 375cc,"Grado médico, esterilizado Gamma",9,1713.24,0.15,2312.87,0.15,13106.29,1965.94,15072.23,0.0,0.0,Pagado,17,2025-10-18,32,1713.24,660.77,5946.93,Anatómico
2025-05-05,2025,5,Centro Quirúrgico Norte,Sofia Vega,IMP-ER-450,Implante de Seno Ergonómico 450cc,"Grado médico, esterilizado Gamma",7,1479.61,0.0,0.0,0.15,10357.27,1553.59,11910.86,0.0,208.44,Pagado,19,2025-05-24,131,1479.61,633.82,4436.74,Ergonómico
2023-03-28,2023,3,Clínica Santa Inés,Elena Gómez,IMP-AN-375,Implante de Seno Anatómico 375cc,"Grado médico, esterilizado Gamma",6,1937.57,0.0,0.0,0.15,11625.42,1743.81,13369.23,13369.23,233.96,Pendiente,46,2023-05-13,34,1937.57,689.88,4139.28,Anatómico
2024-10-12,2024,10,Clínica Santa Inés,Marcos Proaño,IMP-RE-325,Implante de Seno Redondo Low Profile 325cc,"Grado médico, esterilizado Gamma",4,1841.2,0.15,1104.72,0.15,6260.08,939.01,7199.09,7199.09,125.98,Anulado,52,2024-12-03,67,1841.2,833.07,3332.28,Redondo Low Profile
2023-08-28,2023,8,Estética Integral,Marcos Proaño,IMP-RE-500,Implante de Seno Redondo Low Profile 500cc,"Grado médico, esterilizado Gamma",10,2358.73,0.0,0.0,0.15,23587.3,3538.09,27125.39,27125.39,474.69,Pendiente,49,2023-10-16,139,2358.73,802.4,8024.0,Redondo Low Profile
2025-08-03,2025,8,Dr. Juan Pérez,Lucía Méndez,IMP-RE-500,Implante de Seno Redondo Low Profile 500cc,"Grado médico, esterilizado Gamma",6,1973.04,0.05,591.91,0.15,11246.33,1686.95,12933.28,0.0,0.0,Pagado,46,2025-09-18,125,1973.04,751.41,4508.46,Redondo Low Profile
2024-04-22,2024,4,Centro Quirúrgico Norte,Carlos Ruiz,IMP-ER-500,Implante de Seno Ergonómico 500cc,"Grado médico, esterilizado Gamma",6,1535.32,0.1,921.19,0.15,8290.73,1243.61,9534.34,0.0,0.0,Pagado,37,2024-05-29,21,1535.32,549.08,3294.48,Ergonómico
2024-09-24,2024,9,Clínica Santa Inés,Lucía Méndez,IMP-RE-500,Implante de Seno Redondo High Profile 500cc,"Grado médico, esterilizado Gamma",5,2110.79,0.0,0.0,0.15,10553.95,1583.09,12137.04,0.0,0.0,Pagado,41,2024-11-04,9,2110.79,718.99,3594.95,Redondo High Profile
2024-05-29,2024,5,Clínica Santa Inés,Lucía Méndez,IMP-AN-400,Implante de Seno Anatómico 400cc,"Grado médico, esterilizado Gamma",4,1891.09,0.1,756.44,0.15,6807.92,1021.19,7829.11,0.0,137.01,Pagado,29,2024-06-27,140,1891.09,741.46,2965.84,Anatómico
2025-11-17,2025,11,Hospital del Valle,Carlos Ruiz,IMP-AN-250,Implante de Seno Anatómico 250cc,"Grado médico, esterilizado Gamma",1,1440.85,0.0,0.0,0.15,1440.85,216.13,1656.98,0.0,29.0,Pagado,21,2025-12-08,69,1440.85,498.67,498.67,Anatómico
2024-07-13,2024,7,MedGroup SA,Elena Gómez,IMP-AN-325,Implante de Seno Anatómico 325cc,"Grado médico, esterilizado Gamma",9,1898.45,0.0,0.0,0.15,17086.05,2562.91,19648.96,19648.96,343.86,Pendiente,54,2024-09-05,36,1898.45,798.62,7187.58,Anatómico
2025-06-09,2025,6,Dr. Juan Pérez,Marcos Proaño,IMP-AN-250,Implante de Seno Anatómico 250cc,"Grado médico, esterilizado Gamma",9,1788.36,0.0,0.0,0.15,16095.24,2414.29,18509.53,18509.53,0.0,Pendiente,42,2025-07-21,128,1788.36,617.02,5553.18,Anatómico
2024-06-28,2024,6,Centro Quirúrgico Norte,Marcos Proaño,IMP-RE-250,Implante de Seno Redondo High Profile 250cc,"Grado médico, esterilizado Gamma",9,1284.69,0.1,1156.22,0.15,10405.99,1560.9,11966.89,0.0,0.0,Pagado,45,2024-08-12,149,1284.69,525.52,4729.68,Redondo High Profile
2024-10-22,2024,10,Dr. Juan Pérez,Carlos Ruiz,IMP-AN-275,Implante de Seno Anatómico 275cc,"Grado médico, esterilizado Gamma",8,1457.99,0.0,0.0,0.15,11663.92,1749.59,13413.51,0.0,234.74,Pagado,30,2024-11-21,66,1457.99,514.9,4119.2,Anatómico
2025-01-15,2025,1,Clínica Santa Inés,Elena Gómez,IMP-AN-450,Implante de Seno Anatómico 450cc,"Grado médico, esterilizado Gamma",12,1739.04,0.0,0.0,0.15,20868.48,3130.27,23998.75,0.0,419.98,Pagado,32,2025-02-16,89,1739.04,771.28,9255.36,Anatómico
2025-07-02,2025,7,Dr. Juan Pérez,Carlos Ruiz,IMP-RE-450,Implante de Seno Redondo Low Profile 450cc,"Grado médico, esterilizado Gamma",2,2106.62,0.0,0.0,0.15,4213.24,631.99,4845.23,0.0,84.79,Pagado,35,2025-08-06,121,2106.62,799.49,1598.98,Redondo Low Profile
2024-02-11,2024,2,Clínica Santa Inés,Lucía Méndez,IMP-AN-275,Implante de Seno Anatómico 275cc,"Grado médico, esterilizado Gamma",3,1441.83,0.15,648.82,0.15,3676.67,551.5,4228.17,0.0,73.99,Pagado,39,2024-03-21,127,1441.83,527.61,1582.83,Anatómico
2025-09-26,2025,9,Estética Integral,Elena Gómez,IMP-ER-250,Implante de Seno Ergonómico 250cc,"Grado médico, esterilizado Gamma",3,1217.61,0.0,0.0,0.15,3652.83,547.92,4200.75,4200.75,73.51,Pendiente,48,2025-11-13,38,1217.61,477.74,1433.22,Ergonómico
